ID,이디야,스타벅스,커피빈,빽다방,커피지수
가평,9,2,0,0,0.2222222222222222
강릉,17,4,0,2,0.21052631578947367
강진,1,0,0,0,0.0
거제,9,6,0,0,0.6666666666666666
거창,1,0,0,1,0.0
경산,8,8,0,4,0.6666666666666666
경주,25,7,2,1,0.34615384615384615
고령,1,1,0,1,0.5
고성(경남),1,0,0,2,0.0
고양 덕양,17,11,1,9,0.46153846153846156
고양 일산동,12,11,1,6,0.6666666666666666
고양 일산서,11,15,1,3,1.1428571428571428
고창,1,0,0,1,0.0
고흥,2,0,0,0,0.0
곡성,1,0,0,0,0.0
공주,4,2,0,1,0.4
과천,2,3,0,0,1.5
광명,8,10,1,3,1.0
광양,9,2,0,2,0.18181818181818182
광주,14,6,0,4,0.3333333333333333
광주 광산,20,14,0,4,0.5833333333333334
광주 남구,9,11,2,2,1.1818181818181819
광주 동구,2,9,1,4,1.6666666666666667
광주 북구,16,12,0,3,0.631578947368421
광주 서구,13,11,1,1,0.8571428571428571
괴산,2,0,0,0,0.0
구례,1,0,0,0,0.0
구리,10,4,0,3,0.3076923076923077
구미,15,10,0,5,0.5
군산,8,4,0,1,0.4444444444444444
군포,7,5,1,9,0.375
금산,1,0,1,1,0.5
김제,1,0,0,1,0.0
김천,2,2,0,1,0.6666666666666666
김포,17,14,2,13,0.5333333333333333
김해,30,13,1,3,0.42424242424242425
나주,4,1,0,3,0.14285714285714285
남양주,43,12,1,7,0.26
남원,1,0,0,1,0.0
남해,1,0,0,0,0.0
논산,2,2,0,1,0.6666666666666666
단양,1,0,0,0,0.0
담양,1,0,0,0,0.0
당진,7,2,0,3,0.2
대구 남구,6,3,0,0,0.5
대구 달서,16,18,0,8,0.75
대구 달성,10,4,0,3,0.3076923076923077
대구 동구,9,9,0,3,0.75
대구 북구,10,5,0,5,0.3333333333333333
대구 서구,3,2,0,1,0.5
대구 수성,10,19,1,4,1.4285714285714286
대구 중구,7,9,3,4,1.0909090909090908
대전 대덕,4,5,0,2,0.8333333333333334
대전 동구,2,5,0,6,0.625
대전 서구,13,22,1,17,0.7666666666666667
대전 유성,12,12,1,9,0.6190476190476191
대전 중구,3,5,0,7,0.5
동두천,2,2,0,1,0.6666666666666666
동해,1,1,1,1,1.0
목포,11,5,0,9,0.25
무안,5,1,0,3,0.125
무주,1,0,0,0,0.0
문경,4,1,0,1,0.2
